winner_fighter,looser_fighter,match_number,method,referee,number_rounds,round_time,weight_class,event_date,event_location,event_name
Ryan Spann,Luis Henrique Barbosa de Oliveira,"


                        7                    ",Decision (Unanimous),Fernando Portella,3,5:00,Light Heavyweight,2018-09-22T00:00:00-07:00," Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",UFC Fight Night 137 - Santos vs. Anders
Augusto Sakai,Chase Sherman,"


                        6                    ",TKO (Punches),Marc Goddard,3,4:03,Heavyweight,2018-09-22T00:00:00-07:00," Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",UFC Fight Night 137 - Santos vs. Anders
Sergio Moraes,Ben Saunders,"


                        5                    ",Submission (Arm-Triangle Choke),Jerin Valel,2,4:35,Welterweight,2018-09-22T00:00:00-07:00," Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",UFC Fight Night 137 - Santos vs. Anders
Mayra Bueno Silva,Gillian Robertson,"


                        4                    ",Submission (Ambar),Camila Albuquerque,1,4:55,Flyweight,2018-09-22T00:00:00-07:00," Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",UFC Fight Night 137 - Santos vs. Anders
Thales Leites,Hector Lombard,"


                        3                    ",Decision (Unanimous),Jerin Valel,3,5:00,Middleweight,2018-09-22T00:00:00-07:00," Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",UFC Fight Night 137 - Santos vs. Anders
Elizeu Zaleski dos Santos,Luigi Vendramini,"


                        2                    ",KO (Flying Knee and Punches),Fernando Portella,2,1:20,Welterweight,2018-09-22T00:00:00-07:00," Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",UFC Fight Night 137 - Santos vs. Anders
Livinha Souza,Alex Chambers,"


                        1                    ",Submission (Guillotine Choke),Camila Albuquerque,1,1:21,Strawweight,2018-09-22T00:00:00-07:00," Geraldo Jose de Almeida (Ibirapuera) Gymnasium, Sao Paulo, Sao Paulo, Brazil",UFC Fight Night 137 - Santos vs. Anders
"
Alexey Oleynik
","
Mark Hunt
",Match 12,Method Submission (Rear-Naked Choke),Referee Herb Dean,Round 1,Time 4:26,Heavyweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Jan Blachowicz,Nikita Krylov,"


                        11                    ",Submission (Arm-Triangle Choke),Marc Goddard,2,2:41,Light Heavyweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Shamil Abdurakhimov,Andrei Arlovski,"


                        10                    ",Decision (Unanimous),Leon Roberts,3,5:00,Heavyweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Alexey Kunchenko,Thiago Alves,"


                        9                    ",Decision (Unanimous),Marc Goddard,3,5:00,Welterweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Khalid Murtazaliev,C.B. Dollaway,"


                        8                    ",TKO (Punches),Herb Dean,2,5:00,Middleweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Petr Yan,Jin Soo Son,"


                        7                    ",Decision (Unanimous),Marc Goddard,3,5:00,137lb Catchweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Rustam Khabilov,Kajan Johnson,"


                        6                    ",Decision (Split),Leon Roberts,3,5:00,Lightweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Mairbek Taisumov,Desmond Green,"


                        5                    ",Decision (Unanimous),Vyacheslav Kiselev,3,5:00,161lb Catchweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Magomed Ankalaev,Marcin Prachnio,"


                        4                    ",TKO (Head Kick and Punches),Herb Dean,1,3:09,Light Heavyweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Jordan Johnson,Adam Yandiev,"


                        3                    ",Submission (Arm-Triangle Choke),Marc Goddard,2,0:42,Middleweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Ramazan Emeev,Stefan Sekulic,"


                        2                    ",Decision (Unanimous),Leon Roberts,3,5:00,Welterweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
Merab Dvalishvili,Terrion Ware,"


                        1                    ",Decision (Unanimous),Vyacheslav Kiselev,3,5:00,Bantamweight,2018-09-15T00:00:00-07:00," Olimpiysky Arena, Moscow, Russia",UFC Fight Night 136 - Hunt vs. Oleynik
"
Tyron Woodley
","
Darren Till
",Match 13,Method Submission (Brabo Choke),Referee Dan Miragliotta,Round 2,Time 4:19,Welterweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Jessica Andrade,Karolina Kowalkiewicz,"


                        12                    ",KO (Punch),Kerry Hatley,1,1:58,Strawweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Zabit Magomedsharipov,Brandon Davis,"


                        11                    ",Submission (Kneebar),Jacob Montalvo,2,4:36,Featherweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Jimmie Rivera,John Dodson,"


                        10                    ",Decision (Unanimous),Dan Miragliotta,3,5:00,Bantamweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Abdul Razak Alhassan,Niko Price,"


                        9                    ",KO (Punch),Jacob Montalvo,1,0:43,Welterweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Tatiana Suarez,Carla Esparza,"


                        8                    ",TKO (Punches),Kerry Hatley,3,4:33,Strawweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Aljamain Sterling,Cody Stamann,"


                        7                    ",Submission (Kneebar),Kevin MacDonald,2,3:42,Bantamweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Geoff Neal,Frank Camacho,"


                        6                    ",KO (Head Kick),Dan Miragliotta,2,1:23,Welterweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Darren Stewart,Charles Byrd,"


                        5                    ",TKO (Punches and Elbows),Jacob Montalvo,2,2:17,Middleweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Diego Sanchez,Craig White,"


                        4                    ",Decision (Unanimous),Kerry Hatley,3,5:00,Welterweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Jim Miller,Alex White,"


                        3                    ",Submission (Rear-Naked Choke),Kevin MacDonald,1,1:29,Lightweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Irene Aldana,Lucie Pudilova,"


                        2                    ",Decision (Split),Dan Miragliotta,3,5:00,Bantamweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
Jarred Brooks,Roberto Sanchez,"


                        1                    ",Decision (Split),Jacob Montalvo,3,5:00,Flyweight,2018-09-08T00:00:00-07:00," American Airlines Center, Dallas, Texas, United States",UFC 228 - Woodley vs. Till
"
Justin Gaethje
","
James Vick
",Match 13,Method KO (Punches),Referee Kevin MacDonald,Round 1,Time 1:27,Lightweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Michael Johnson,Andre Fili,"


                        12                    ",Decision (Split),Blake Grice,3,5:00,Featherweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Cortney Casey,Angela Hill,"


                        11                    ",Decision (Split),Bryan Miner,3,5:00,Strawweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Bryan Barberena,Jake Ellenberger,"


                        10                    ",TKO (Punches),Bryan Miner,1,2:26,Welterweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Deiveson Figueiredo,John Moraga,"


                        9                    ",TKO (Punches),Dave Jobeun,2,3:08,Flyweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Eryk Anders,Tim Williams,"


                        8                    ",KO (Soccer Kick),Blake Grice,3,4:42,Middleweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
James Krause,Warlley Alves,"


                        7                    ",TKO (Knee and Punches),Kevin MacDonald,2,2:28,Welterweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Cory Sandhagen,Iuri Alcantara,"


                        6                    ",TKO (Punches),Brandon Pfannenstiel,2,1:01,Bantamweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Andrew Sanchez,Markus Perez,"


                        5                    ",Decision (Unanimous),Dave Jobeun,3,5:00,Middleweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Mickey Gall,George Sullivan,"


                        4                    ",Submission (Rear-Naked Choke),Bryan Miner,1,1:09,Welterweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Joanne Wood,Kalindra Faria,"


                        3                    ",Submission (Triangle Choke),Kevin MacDonald,1,4:57,Flyweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Drew Dober,Jon Tuck,"


                        2                    ",Decision (Unanimous),Blake Grice,3,5:00,Lightweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
Rani Yahya,Luke Sanders,"


                        1                    ",Submission (Heel Hook),Dave Jobeun,1,1:31,Bantamweight,2018-08-25T00:00:00-07:00," Pinnacle Bank Arena, Lincoln, Nebraska, United States",UFC Fight Night 135 - Gaethje vs. Vick
"
T.J. Dillashaw
","
Cody Garbrandt
",Match 12,Method KO (Knee and Punches),Referee Herb Dean,Round 1,Time 4:10,Bantamweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Henry Cejudo,Demetrious Johnson,"


                        11                    ",Decision (Split),Mike Beltran,5,5:00,Flyweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Renato Carneiro,Cub Swanson,"


                        10                    ",Submission (Rear-Naked Choke),Blake Grice,1,4:15,Featherweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
J.J. Aldrich,Polyana Viana,"


                        9                    ",Decision (Unanimous),Herb Dean,3,5:00,Strawweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Thiago Santos,Kevin Holland,"


                        8                    ",Decision (Unanimous),Mike Beltran,3,5:00,Middleweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Pedro Munhoz,Brett Johns,"


                        7                    ",Decision (Unanimous),Blake Grice,3,5:00,Bantamweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Ricky Simon,Montel Jackson,"


                        6                    ",Decision (Unanimous),Frank Trigg,3,5:00,Bantamweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Ricardo Ramos,Kyung Ho Kang,"


                        5                    ",Decision (Split),Mike Beltran,3,5:00,Bantamweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Sheymon Moraes,Matt Sayles,"


                        4                    ",Decision (Unanimous),Blake Grice,3,5:00,Featherweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Alex Perez,Jose Torres,"


                        3                    ",KO (Punches),Frank Trigg,1,3:36,Flyweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Weili Zhang,Danielle Taylor,"


                        2                    ",Decision (Unanimous),Blake Grice,3,5:00,Strawweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
Marlon Vera,Wuliji Buren,"


                        1                    ",KO (Punch to the Body),Frank Trigg,2,4:53,Bantamweight,2018-08-04T00:00:00-07:00," Staples Center, Los Angeles, California, United States",UFC 227 - Dillashaw vs. Garbrandt 2
"
Dustin Poirier
","
Eddie Alvarez
",Match 13,Method TKO (Punches),Referee Marc Goddard,Round 2,Time 4:05,Lightweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
Jose Aldo,Jeremy Stephens,"


                        12                    ",TKO (Punches),Yves Lavigne,1,4:19,Featherweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
Joanna Jedrzejczyk,Tecia Torres,"


                        11                    ",Decision (Unanimous),Keith Peterson,3,5:00,Strawweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
Alexander Hernandez,Olivier Aubin-Mercier,"


                        10                    ",Decision (Unanimous),Marc Goddard,3,5:00,Lightweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
Jordan Mein,Alex Morono,"


                        9                    ",Decision (Unanimous),Keith Peterson,3,5:00,Welterweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
Hakeem Dawodu,Austin Arnett,"


                        8                    ",Decision (Unanimous),Yves Lavigne,3,5:00,Featherweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
Islam Makhachev,Kajan Johnson,"


                        7                    ",Submission (Armbar),Andy Social,1,4:43,Lightweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
Ion Cutelaba,Gadzhimurad Antigulov,"


                        6                    ",TKO (Punches and Elbows),Marc Goddard,1,4:25,Light Heavyweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
John Makdessi,Ross Pearson,"


                        5                    ",Decision (Unanimous),Yves Lavigne,3,5:00,Lightweight,2018-07-28T00:00:00-07:00," Scotiabank Saddledome, Calgary, Alberta, Canada",UFC on Fox 30 - Alvarez vs. Poirier 2
